AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;SR;579753;;171729;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;579740;;171573;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;580139;;176792;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580037;;175138;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579829;;172571;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579864;;172855;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579962;;174063;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580214;;178901;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580211;;178827;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579713;;171217;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;580135;;176668;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;580084;;175825;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580049;;175280;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;580150;;177017;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579835;;172591;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579956;;173967;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579729;;171439;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;580474;;187907;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580279;;181767;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580278;;181756;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580444;;187286;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580303;;182518;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580415;;186331;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580345;;183988;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580449;;187389;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580610;;191056;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580613;;191216;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580579;;190484;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580601;;190874;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;580611;;191150;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580741;;195682;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580703;;193987;;;ANOMALIE - Document d'identité expiré;;
